name,latitude,longitude,date
Vanessa atalanta,36.368698,-120.994008,2019-04-07
Vanessa atalanta,32.023736,-110.041175,2019-03-22
Vanessa atalanta,32.735868,-116.986755,2019-04-11
Vanessa atalanta,34.017869,-118.288199,2015-10-25
Vanessa atalanta,34.01776,-118.306329,2015-11-08
Vanessa atalanta,34.130812,-118.28398,2015-11-05
Vanessa atalanta,37.670044,-122.387975,2015-11-21
Vanessa atalanta,37.719842,-122.425287,2015-11-28
Vanessa atalanta,37.756682,-122.453046,2015-11-29
Vanessa atalanta,32.554164,-117.08574,2015-11-15
Vanessa atalanta,32.705967,-117.105159,2015-11-15
Vanessa atalanta,34.136554,-118.2942,2015-11-27
Vanessa atalanta,31.73978,-110.88621500000001,2015-11-22
Vanessa atalanta,37.412163,-121.999864,2015-11-29
Vanessa atalanta,37.254114,-121.635801,2015-12-09
Vanessa atalanta,34.055987,-118.246489,2015-12-08
Vanessa atalanta,34.951721,-101.658468,2015-04-19
Vanessa atalanta,37.930997,-122.680855,2015-12-16
Vanessa atalanta,37.76904,-122.483519,2015-12-19
Vanessa atalanta,32.646585,-102.386878,2015-10-22
Vanessa atalanta,38.18486,-107.774223,2012-04-20
Vanessa atalanta,46.291396,-123.677971,2014-08-17
Vanessa atalanta,37.334099,-122.120003,2015-06-28
Vanessa atalanta,39.662845,-105.276108,2015-06-26
Vanessa atalanta,38.151608,-121.289118,2015-07-18
Vanessa atalanta,37.788364,-121.701744,2015-04-11
Vanessa atalanta,35.030991,-120.62043,2015-07-19
Vanessa atalanta,37.799451,-122.216289,2015-07-22
Vanessa atalanta,34.008594,-119.807496,2015-07-22
Vanessa atalanta,34.004895,-119.786528,2015-07-22
Vanessa atalanta,37.767614,-122.466457,2015-07-28
Vanessa atalanta,47.27393,-122.021027,2015-07-30
Vanessa atalanta,39.331039,-123.780453,2015-07-30
Vanessa atalanta,37.708661,-122.055032,2005-06-17
Vanessa atalanta,37.769791,-122.469597,2015-08-05
Vanessa atalanta,34.182279,-118.496615,2013-08-21
Vanessa atalanta,34.080519,-118.282059,2015-03-21
